date,time,exchange,name,ltp,bid,ask,mid,spread,last_trade_qty,total_trade_amount,total_trade_qty,lot_size
0,09:15:00.000000000,NSECM,360ONE,1034,1032.2,1034,1033.1,1.8,9,23782,23,1
0,09:15:00.000000000,NSEFO,360ONE25OCTFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,360ONE25SEPFUT,1039.8,981.1,1140.9,1061,159.8,500,519900,500,500
0,09:15:00.000000000,NSECM,GAIL,176.05,176.05,176.1,176.075,0.05,65,1365795.9,7758,1
0,09:15:00.000000000,NSEFO,GAIL25OCTFUT,177.65,172.07,182.33,177.2,10.26,3150,559597.5,3150,3150
0,09:15:00.000000000,NSEFO,GAIL25SEPFUT,176.9,176.25,177.39,176.82,1.14,3150,557235,3150,3150
0,09:15:00.000000000,NSECM,GLENMARK,1926.9,1926.9,1928.5,1927.7,1.6,5,146444.4,76,1
0,09:15:00.000000000,NSEFO,GLENMARK25OCTFUT,1944.8,1944,2124.9,2034.45,180.9,375,729300,375,375
0,09:15:00.000000000,NSEFO,GLENMARK25SEPFUT,1935.5,1918,1944.9,1931.45,26.9,375,725812.5,375,375
0,09:15:00.000000000,NSECM,GMRAIRPORT,87.39,87.25,87.39,87.32,0.14,6,354541.23,4057,1
0,09:15:00.000000000,NSEFO,GMRAIRPORT25OCTFUT,87.95,86.08,92.63,89.355,6.55,6975,613451.25,6975,6975
0,09:15:00.000000000,NSEFO,GMRAIRPORT25SEPFUT,87.6,87.34,87.98,87.66,0.64,6975,611010,6975,6975
0,09:15:00.000000000,NSECM,GODREJCP,1250,1247.5,1250,1248.75,2.5,1,795000,636,1
0,09:15:00.000000000,NSEFO,GODREJCP25OCTFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GODREJCP25SEPFUT,1260.6,1242.4,1280,1261.2,37.6,500,630300,500,500
0,09:15:00.000000000,NSECM,GODREJPROP,1957.2,1957.2,1958,1957.6,0.8,3,702634.8,359,1
0,09:15:00.000000000,NSEFO,GODREJPROP25OCTFUT,1975.9,1970.2,2085.6,2027.9,115.4,275,543372.5,275,275
0,09:15:00.000000000,NSEFO,GODREJPROP25SEPFUT,1971,1960,1980,1970,20,275,542025,275,275
0,09:15:00.000000000,NSECM,GRASIM,2815,2814,2815,2814.5,1,1,1075330,382,1
0,09:15:00.000000000,NSEFO,GRASIM25OCTFUT,2830.8,2820,2936.2,2878.1,116.2,250,707700,250,250
0,09:15:00.000000000,NSEFO,GRASIM25SEPFUT,2815.3,2752.8,2840.8,2796.8,88,250,703825,250,250
0,09:15:00.000000000,NSECM,LAURUSLABS,860.55,860.1,860.55,860.325,0.45,28,1150555.35,1337,1
0,09:15:00.000000000,NSEFO,LAURUSLABS25OCTFUT,869.8,847.4,885.5,866.45,38.1,1700,1478660,1700,1700
0,09:15:00.000000000,NSEFO,LAURUSLABS25SEPFUT,866,864.15,870.25,867.2,6.1,1700,1472200,1700,1700
0,09:15:00.000000000,NSECM,LICHSGFIN,564,563.5,564,563.75,0.5,111,468120,830,1
0,09:15:00.000000000,NSEFO,LICHSGFIN25OCTFUT,568,558.05,578.8,568.425,20.75,3000,1704000,3000,1000
0,09:15:00.000000000,NSEFO,LICHSGFIN25SEPFUT,565.05,562.1,566.75,564.425,4.65,1000,565050,1000,1000
0,09:15:00.000000000,NSECM,LICI,863.35,863.3,863.35,863.325,0.05,8,3138277.25,3635,1
0,09:15:00.000000000,NSEFO,LICI25OCTFUT,850.5,842.25,850.5,846.375,8.25,700,4167450,4900,700
0,09:15:00.000000000,NSEFO,LICI25SEPFUT,858.25,831.6,869.65,850.625,38.05,700,2993725,3500,700
0,09:15:00.000000000,NSECM,LODHA,1213.5,1213.2,1213.5,1213.35,0.3,10,1246264.5,1027,1
0,09:15:00.000000000,NSEFO,LODHA25OCTFUT,1221.8,1200.1,1260.6,1230.35,60.5,450,549810,450,450
0,09:15:00.000000000,NSEFO,LODHA25SEPFUT,1213,1201.7,1219,1210.35,17.3,450,545850,450,450
0,09:15:00.000000000,NSECM,LT,3598.4,3598.4,3599.4,3598.9,1,9,9075700.84,2521,1
0,09:15:00.000000000,NSEFO,LT25OCTFUT,3628.5,3630,3655.4,3642.7,25.4,175,634987.5,175,175
0,09:15:00.000000000,NSEFO,LT25SEPFUT,3611.9,3601.1,3627.2,3614.15,26.1,175,632082.5,175,175
0,09:15:00.000000000,NSECM,LTF,223.4,223,223.4,223.2,0.4,1,1501248,6720,1
0,09:15:00.000000000,NSEFO,LTF25OCTFUT,223,218.3,229.65,223.975,11.35,4462,995026,4462,4462
0,09:15:00.000000000,NSEFO,LTF25SEPFUT,223.99,224.01,226.14,225.075,2.13,4462,1997548.16,8924,4462
0,09:15:00.000000000,NSECM,LTIM,5190,5190,5195,5192.5,5,62,1287120,248,1
0,09:15:00.000000000,NSEFO,LTIM25OCTFUT,5208,5086.5,5315,5200.75,228.5,150,781200,150,150
0,09:15:00.000000000,NSEFO,LTIM25SEPFUT,5214,5179,5256,5217.5,77,150,782100,150,150
0,09:15:00.000000000,NSECM,LUPIN,1908,1904,1908,1906,4,5,282384,148,1
0,09:15:00.000000000,NSEFO,LUPIN25OCTFUT,1922.2,1899.7,1930,1914.85,30.3,425,816935,425,425
0,09:15:00.000000000,NSEFO,LUPIN25SEPFUT,1911.2,1905.2,1940,1922.6,34.8,425,812260,425,425
0,09:15:00.000000000,NSECM,SAIL,121.5,121.5,121.6,121.55,0.1,36,1271011.5,10461,1
0,09:15:00.000000000,NSEFO,SAIL25OCTFUT,120.9,117.91,121.4,119.655,3.49,9400,1136460,9400,4700
