date,time,exchange,name,ltp,bid,ask,mid,spread,last_trade_qty,total_trade_amount,total_trade_qty,lot_size
0,09:15:00.000000000,NSECM,360ONE,1090.7,1090,1090.7,1090.35,0.7,1,644597.79,591,1
0,09:15:00.000000000,NSEFO,360ONE25OCTFUT,1097,1076.1,1134.5,1105.3,58.4,500,548500,500,500
0,09:15:00.000000000,NSEFO,360ONE25SEPFUT,1088.4,1090.1,1111.5,1100.8,21.4,500,544200,500,500
0,09:15:00.000000000,NSECM,GAIL,182.24,182.24,182.3,182.27,0.06,2,3019716.8,16570,1
0,09:15:00.000000000,NSEFO,GAIL25OCTFUT,183.63,183.71,186.23,184.97,2.52,3150,578434.5,3150,3150
0,09:15:00.000000000,NSEFO,GAIL25SEPFUT,182.67,182.05,183.84,182.945,1.79,3150,575410.5,3150,3150
0,09:15:00.000000000,NSECM,GLENMARK,2084.9,2084.4,2084.9,2084.65,0.5,212,1745061.3,837,1
0,09:15:00.000000000,NSEFO,GLENMARK25OCTFUT,2097.9,2032.1,2188.4,2110.25,156.3,375,786712.5,375,375
0,09:15:00.000000000,NSEFO,GLENMARK25SEPFUT,2083.8,2081.4,2094.8,2088.1,13.4,375,781425,375,375
0,09:15:00.000000000,NSECM,GMRAIRPORT,93,93.01,93.16,93.085,0.15,25,6161622,66254,1
0,09:15:00.000000000,NSEFO,GMRAIRPORT25OCTFUT,93.53,92.81,94.71,93.76,1.9,6975,652371.75,6975,6975
0,09:15:00.000000000,NSEFO,GMRAIRPORT25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,GODREJCP,1237.7,1232.3,1237.6,1234.95,5.3,216,2354577.1,1906,1
0,09:15:00.000000000,NSEFO,GODREJCP25OCTFUT,1228.4,1210.8,1245,1227.9,34.2,500,614200,500,500
0,09:15:00.000000000,NSEFO,GODREJCP25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,GODREJPROP,2071,2071,2074.9,2072.95,3.9,1,944376,456,1
0,09:15:00.000000000,NSEFO,GODREJPROP25OCTFUT,2079.4,2028.3,2109.1,2068.7,80.8,275,571835,275,275
0,09:15:00.000000000,NSEFO,GODREJPROP25SEPFUT,2083.5,2083.5,2092.8,2088.15,9.3,275,572962.5,275,275
0,09:15:00.000000000,NSECM,GRASIM,2855,2854.2,2855,2854.6,0.8,18,1704435,597,1
0,09:15:00.000000000,NSEFO,GRASIM25OCTFUT,2872,2833.5,2891.9,2862.7,58.4,250,718000,250,250
0,09:15:00.000000000,NSEFO,GRASIM25SEPFUT,2864,2840.1,2863.9,2852,23.8,250,716000,250,250
0,09:15:00.000000000,NSECM,LAURUSLABS,895.95,895.6,895.95,895.775,0.35,4,2848225.05,3179,1
0,09:15:00.000000000,NSEFO,LAURUSLABS25OCTFUT,902.55,896,910.7,903.35,14.7,1700,1534335,1700,1700
0,09:15:00.000000000,NSEFO,LAURUSLABS25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LICHSGFIN,572.05,572.05,572.2,572.125,0.15,9,413020.1,722,1
0,09:15:00.000000000,NSEFO,LICHSGFIN25OCTFUT,575.6,539,579.6,559.3,40.6,1000,575600,1000,1000
0,09:15:00.000000000,NSEFO,LICHSGFIN25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LICI,883,882.85,883,882.925,0.15,1,1856949,2103,1
0,09:15:00.000000000,NSEFO,LICI25OCTFUT,887.5,887.55,896,891.775,8.45,700,621250,700,700
0,09:15:00.000000000,NSEFO,LICI25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LODHA,1206,1205,1206,1205.5,1,1,1708902,1417,1
0,09:15:00.000000000,NSEFO,LODHA25OCTFUT,1209,1191,1239,1215,48,450,544050,450,450
0,09:15:00.000000000,NSEFO,LODHA25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LT,3672,3671.5,3672,3671.75,0.5,97,10828728,2949,1
0,09:15:00.000000000,NSEFO,LT25OCTFUT,3701.8,3667.5,3719.5,3693.5,52,175,647815,175,175
0,09:15:00.000000000,NSEFO,LT25SEPFUT,3681.9,3672.6,3689,3680.8,16.4,175,644332.5,175,175
0,09:15:00.000000000,NSECM,LTF,241,241,241.03,241.015,0.03,91,3705375,15375,1
0,09:15:00.000000000,NSEFO,LTF25OCTFUT,242,240.8,245.92,243.36,5.12,4462,1079804,4462,4462
0,09:15:00.000000000,NSEFO,LTF25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LTIM,5376,5376,5377,5376.5,1,1,1790051.49,333,1
0,09:15:00.000000000,NSEFO,LTIM25OCTFUT,5365,5248.5,5516,5382.25,267.5,150,804750,150,150
0,09:15:00.000000000,NSEFO,LTIM25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LUPIN,2030,2028.9,2030,2029.45,1.1,10,10261650,5055,1
0,09:15:00.000000000,NSEFO,LUPIN25OCTFUT,2063.6,2014,2074.5,2044.25,60.5,425,877030,425,425
0,09:15:00.000000000,NSEFO,LUPIN25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SAIL,133.28,133.15,133.3,133.225,0.15,7,2265176.25,17025,1
0,09:15:00.000000000,NSEFO,SAIL25OCTFUT,134.26,133.41,136.65,135.03,3.24,4700,631022,4700,4700
0,09:15:00.000000000,NSEFO,SAIL25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SBICARD,892.45,892.45,895,893.725,2.55,200,1869682.75,2095,1
0,09:15:00.000000000,NSEFO,SBICARD25OCTFUT,888.3,881.7,899,890.35,17.3,800,710640,800,800
0,09:15:00.000000000,NSEFO,SBICARD25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SBILIFE,1810.1,1810.1,1814.9,1812.5,4.8,5,5015787.1,2771,1
0,09:15:00.000000000,NSEFO,SBILIFE25OCTFUT,1837,1794,1895.6,1844.8,101.6,375,688875,375,375
0,09:15:00.000000000,NSEFO,SBILIFE25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SBIN,834.3,834.3,834.4,834.35,0.1,5,18720023.4,22438,1
0,09:15:00.000000000,NSEFO,SBIN25OCTFUT,840.3,839.05,842.25,840.65,3.2,750,630225,750,750
0,09:15:00.000000000,NSEFO,SBIN25SEPFUT,835.05,834.6,837.4,836,2.8,750,626287.5,750,750
0,09:15:00.000000000,NSECM,SHREECEM,29780,29755,29780,29767.5,25,10,5271060,177,1
0,09:15:00.000000000,NSEFO,SHREECEM25OCTFUT,29870,29125,30695,29910,1570,25,746750,25,25
0,09:15:00.000000000,NSEFO,SHREECEM25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SHRIRAMFIN,619.05,619,620.05,619.525,1.05,36,10011598.52,16148,1
0,09:15:00.000000000,NSEFO,SHRIRAMFIN25OCTFUT,623.9,619.95,631.55,625.75,11.6,825,514717.5,825,825
0,09:15:00.000000000,NSEFO,SHRIRAMFIN25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SIEMENS,3316,3316,3320,3318,4,10,1571784,474,1
0,09:15:00.000000000,NSEFO,SIEMENS25OCTFUT,3342.2,3298.8,3407.2,3353,108.4,125,417775,125,125
0,09:15:00.000000000,NSEFO,SIEMENS25SEPFUT,3322,3314.3,3339.5,3326.9,25.2,125,415250,125,125
0,09:15:00.000000000,NSECM,SOLARINDS,14650,14650,14659,14654.5,9,1,3281600,224,1
0,09:15:00.000000000,NSEFO,SOLARINDS25OCTFUT,14735,14610,14900,14755,290,75,1105125,75,75
0,09:15:00.000000000,NSEFO,SOLARINDS25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SONACOMS,434.4,434.2,434.4,434.3,0.2,30,1064714.4,2451,1
0,09:15:00.000000000,NSEFO,SONACOMS25OCTFUT,436.8,438,442.35,440.175,4.35,1050,458640,1050,1050
0,09:15:00.000000000,NSEFO,SONACOMS25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SRF,2959,2959,2960,2959.5,1,10,1145009.16,387,1
0,09:15:00.000000000,NSEFO,SRF25OCTFUT,2969.5,2916.8,3023.9,2970.35,107.1,200,593900,200,200
0,09:15:00.000000000,NSEFO,SRF25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SUNPHARMA,1612.6,1612,1612.6,1612.3,0.6,25,2376972.4,1474,1
0,09:15:00.000000000,NSEFO,SUNPHARMA25OCTFUT,1623.1,1616.5,1692.3,1654.4,75.8,350,568085,350,350
0,09:15:00.000000000,NSEFO,SUNPHARMA25SEPFUT,1615.5,1615.6,1622.9,1619.25,7.3,350,565425,350,350
0,09:15:00.000000000,NSECM,SUPREMEIND,4591.7,4591.5,4591.6,4591.55,0.1,1,293868.8,64,1
0,09:15:00.000000000,NSEFO,SUPREMEIND25OCTFUT,4630.3,4529.7,4708.9,4619.3,179.2,175,810302.5,175,175
0,09:15:00.000000000,NSEFO,SUPREMEIND25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SUZLON,60,59.99,60,59.995,0.01,1060,88368780,1472813,1
0,09:15:00.000000000,NSEFO,SUZLON25OCTFUT,61,59.79,60.85,60.32,1.06,16000,1952000,32000,8000
0,09:15:00.000000000,NSEFO,SUZLON25SEPFUT,60.04,60.03,60.14,60.085,0.11,8000,6735680,112000,8000
0,09:15:00.000000000,NSECM,SYNGENE,660.5,660.5,660.9,660.7,0.4,5,1576613.5,2387,1
0,09:15:00.000000000,NSEFO,SYNGENE25OCTFUT,663.5,642.05,668.55,655.3,26.5,1000,663500,1000,1000
0,09:15:00.000000000,NSEFO,SYNGENE25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:16:00.000000000,NSECM,360ONE,1094.7,1094.8,1096.3,1095.55,1.5,5,4095852.61,3743,1
0,09:16:00.000000000,NSEFO,360ONE25OCTFUT,1104.5,1099.7,1106.1,1102.9,6.4,500,1104550,1000,500
0,09:16:00.000000000,NSEFO,360ONE25SEPFUT,1099.2,1097,1100.5,1098.75,3.5,500,2194900,2000,500
0,09:16:00.000000000,NSECM,GAIL,182.3,182.24,182.3,182.27,0.06,20,14858533.04,81497,1
0,09:16:00.000000000,NSEFO,GAIL25OCTFUT,183.83,183.7,183.86,183.78,0.16,3150,3475521,18900,3150
0,09:16:00.000000000,NSEFO,GAIL25SEPFUT,182.67,182.56,182.91,182.735,0.35,3150,13233717,72450,3150
0,09:16:00.000000000,NSECM,GLENMARK,2074.9,2073,2074.4,2073.7,1.4,3,12650900.24,6094,1
0,09:16:00.000000000,NSEFO,GLENMARK25OCTFUT,2097.9,2089.6,2094.3,2091.95,4.7,375,1573425,750,375
0,09:16:00.000000000,NSEFO,GLENMARK25SEPFUT,2083.1,2081.2,2083.1,2082.15,1.9,750,9385560,4500,375
0,09:16:00.000000000,NSECM,GMRAIRPORT,92.75,92.7,92.74,92.72,0.04,239,60956958.24,656298,1
0,09:16:00.000000000,NSEFO,GMRAIRPORT25OCTFUT,93.53,93.5,93.68,93.59,0.18,6975,2610882,27900,6975
0,09:16:00.000000000,NSEFO,GMRAIRPORT25SEPFUT,93.13,93.01,93.13,93.07,0.12,6975,27965007,299925,6975
0,09:16:00.000000000,NSECM,GODREJCP,1230.8,1230.7,1231.9,1231.3,1.2,36,14802492.52,12004,1
0,09:16:00.000000000,NSEFO,GODREJCP25OCTFUT,1231.7,1227.4,1234.3,1230.85,6.9,500,1231100,1000,500
0,09:16:00.000000000,NSEFO,GODREJCP25SEPFUT,1232.1,1231.4,1233.9,1232.65,2.5,500,3697680,3000,500
0,09:16:00.000000000,NSECM,GODREJPROP,2071,2070.7,2071.9,2071.3,1.2,5,15546497.59,7501,1
0,09:16:00.000000000,NSEFO,GODREJPROP25OCTFUT,2090,2090,2091.6,2090.8,1.6,275,4022634,1925,275
0,09:16:00.000000000,NSEFO,GODREJPROP25SEPFUT,2079.1,2078.4,2080.9,2079.65,2.5,275,76167437.5,36575,275
0,09:16:00.000000000,NSECM,GRASIM,2864,2862.2,2863.8,2863,1.6,186,27712033.44,9686,1
0,09:16:00.000000000,NSEFO,GRASIM25OCTFUT,2883.3,2877,2883.9,2880.45,6.9,250,2880320,1000,250
0,09:16:00.000000000,NSEFO,GRASIM25SEPFUT,2876.4,2870.4,2873.5,2871.95,3.1,250,99134025,34500,250
0,09:16:00.000000000,NSECM,LAURUSLABS,898.2,897.95,898.2,898.075,0.25,81,12566810.25,13995,1
0,09:16:00.000000000,NSEFO,LAURUSLABS25OCTFUT,904.1,902.6,905.8,904.2,3.2,1700,3074348,3400,1700
0,09:16:00.000000000,NSEFO,LAURUSLABS25SEPFUT,900.15,900.05,901.15,900.6,1.1,1700,9189180,10200,1700
0,09:16:00.000000000,NSECM,LICHSGFIN,571.25,571.35,571.7,571.525,0.35,31,4340219.22,7587,1
0,09:16:00.000000000,NSEFO,LICHSGFIN25OCTFUT,575.6,575.35,577.95,576.65,2.6,1000,1151200,2000,1000
0,09:16:00.000000000,NSEFO,LICHSGFIN25SEPFUT,573.5,573.05,574.4,573.725,1.35,1000,1721190,3000,1000
0,09:16:00.000000000,NSECM,LICI,885.05,885,885.05,885.025,0.05,25,6328751,7150,1
0,09:16:00.000000000,NSEFO,LICI25OCTFUT,887.5,888.35,890.7,889.525,2.35,700,1242500,1400,700
0,09:16:00.000000000,NSEFO,LICI25SEPFUT,888.75,887.15,889.1,888.125,1.95,700,6216420,7000,700
0,09:16:00.000000000,NSECM,LODHA,1206.4,1206.3,1207,1206.65,0.7,41,21547136.52,17836,1
0,09:16:00.000000000,NSEFO,LODHA25OCTFUT,1217.6,1214.9,1218.6,1216.75,3.7,450,2189286,1800,450
0,09:16:00.000000000,NSEFO,LODHA25SEPFUT,1210.5,1210.1,1212.9,1211.5,2.8,450,14727865.5,12150,450
0,09:16:00.000000000,NSECM,LT,3669,3669,3670,3669.5,1,4,79022430.27,21531,1
0,09:16:00.000000000,NSEFO,LT25OCTFUT,3700.6,3700.7,3702.8,3701.75,2.1,175,12951610,3500,175
0,09:16:00.000000000,NSEFO,LT25SEPFUT,3683.9,3681,3683.8,3682.4,2.8,175,90214880,24500,175
0,09:16:00.000000000,NSECM,LTF,240.45,240.41,240.45,240.43,0.04,18,14247388.18,59221,1
0,09:16:00.000000000,NSEFO,LTF25OCTFUT,242,241.46,242.15,241.805,0.69,4462,1079804,4462,4462
0,09:16:00.000000000,NSEFO,LTF25SEPFUT,241,240.83,241.33,241.08,0.5,4462,9699361.74,40158,4462
0,09:16:00.000000000,NSECM,LTIM,5390,5388,5391,5389.5,3,1,7471937.12,1388,1
0,09:16:00.000000000,NSEFO,LTIM25OCTFUT,5371,5369,5391,5380,22,150,1609350,300,150
0,09:16:00.000000000,NSEFO,LTIM25SEPFUT,5388.5,5385,5395,5390,10,150,11306757,2100,150
0,09:16:00.000000000,NSECM,LUPIN,2024.3,2024.2,2024.3,2024.25,0.1,1,48370126.77,23901,1
0,09:16:00.000000000,NSEFO,LUPIN25OCTFUT,2035.9,2033.1,2036.4,2034.75,3.3,425,3466079,1700,425
0,09:16:00.000000000,NSEFO,LUPIN25SEPFUT,2025.9,2023.6,2026.6,2025.1,3,425,103380060,51000,425
0,09:16:00.000000000,NSECM,SAIL,134.08,134.03,134.09,134.06,0.06,88,29459522.4,220110,1
0,09:16:00.000000000,NSEFO,SAIL25OCTFUT,134.26,135.3,135.5,135.4,0.2,4700,1262044,9400,4700
0,09:16:00.000000000,NSEFO,SAIL25SEPFUT,134.75,134.69,134.76,134.725,0.07,4700,56961180,423000,4700
0,09:16:00.000000000,NSECM,SBICARD,895.65,894.65,895.65,895.15,1,6,10920178.83,12199,1
0,09:16:00.000000000,NSEFO,SBICARD25OCTFUT,888.3,886.8,890.95,888.875,4.15,800,1421280,1600,800
0,09:16:00.000000000,NSEFO,SBICARD25SEPFUT,896.85,894.75,897.4,896.075,2.65,800,38619072,43200,800
0,09:16:00.000000000,NSECM,SBILIFE,1824.8,1824.8,1825.7,1825.25,0.9,2,21890220.8,12035,1
0,09:16:00.000000000,NSEFO,SBILIFE25OCTFUT,1837,1839.1,1842.3,1840.7,3.2,375,42021375,22875,375
0,09:16:00.000000000,NSEFO,SBILIFE25SEPFUT,1830,1828.8,1830.9,1829.85,2.1,375,7538602.5,4125,375
0,09:16:00.000000000,NSECM,SBIN,833.5,833.35,833.5,833.425,0.15,1,77031896.85,92381,1
0,09:16:00.000000000,NSEFO,SBIN25OCTFUT,840.05,839.55,840.3,839.925,0.75,750,9449100,11250,750
0,09:16:00.000000000,NSEFO,SBIN25SEPFUT,835.75,835.65,835.9,835.775,0.25,750,120376800,144000,750
0,09:16:00.000000000,NSECM,SHREECEM,29945,29950,29975,29962.5,25,1,61786881.48,2062,1
0,09:16:00.000000000,NSEFO,SHREECEM25OCTFUT,30140,30155,30265,30210,110,25,4516500,150,25
0,09:16:00.000000000,NSEFO,SHREECEM25SEPFUT,30100,30100,30135,30117.5,35,25,68338247.25,2275,25
0,09:16:00.000000000,NSECM,SHRIRAMFIN,619,618.9,619,618.95,0.1,1,38330306.4,61855,1
0,09:16:00.000000000,NSEFO,SHRIRAMFIN25OCTFUT,625.75,624.5,625.4,624.95,0.9,825,1031943,1650,825
0,09:16:00.000000000,NSEFO,SHRIRAMFIN25SEPFUT,622,621.45,622.05,621.75,0.6,825,13862623.5,22275,825
0,09:16:00.000000000,NSECM,SIEMENS,3321.7,3320.1,3321.9,3321,1.8,1,16330155.66,4914,1
0,09:16:00.000000000,NSEFO,SIEMENS25OCTFUT,3348.9,3339.2,3344.2,3341.7,5,125,9612073.75,2875,125
0,09:16:00.000000000,NSEFO,SIEMENS25SEPFUT,3328.2,3323.5,3328.4,3325.95,4.9,125,22048662.5,6625,125
0,09:16:00.000000000,NSECM,SOLARINDS,14634,14627,14641,14634,14,2,16362921.83,1117,1
0,09:16:00.000000000,NSEFO,SOLARINDS25OCTFUT,14754,14749,14789,14769,40,75,3321074.25,225,75
0,09:16:00.000000000,NSEFO,SOLARINDS25SEPFUT,14679,14689,14719,14704,30,75,19810723.5,1350,75
0,09:16:00.000000000,NSECM,SONACOMS,435.15,435,435.15,435.075,0.15,17,8340320.42,19178,1
0,09:16:00.000000000,NSEFO,SONACOMS25OCTFUT,438.85,438.05,438.9,438.475,0.85,1050,1382724,3150,1050
0,09:16:00.000000000,NSEFO,SONACOMS25SEPFUT,436,435.25,436.05,435.65,0.8,1050,3205482,7350,1050
0,09:16:00.000000000,NSECM,SRF,2954.8,2952.6,2954.7,2953.65,2.1,4,7524190.7,2545,1
0,09:16:00.000000000,NSEFO,SRF25OCTFUT,2969.5,2972,2978.2,2975.1,6.2,200,1187800,400,200
0,09:16:00.000000000,NSEFO,SRF25SEPFUT,2962.4,2957.5,2960.3,2958.9,2.8,200,8293320,2800,200
0,09:16:00.000000000,NSECM,SUNPHARMA,1612.9,1612.1,1613,1612.55,0.9,1,26667313.27,16531,1
0,09:16:00.000000000,NSEFO,SUNPHARMA25OCTFUT,1626.9,1624.4,1626.7,1625.55,2.3,350,569415,350,350
0,09:16:00.000000000,NSEFO,SUNPHARMA25SEPFUT,1617.2,1616.4,1617.7,1617.05,1.3,350,10754579.5,6650,350
0,09:16:00.000000000,NSECM,SUPREMEIND,4596.4,4595.3,4600.6,4597.95,5.3,3,7383972.16,1607,1
0,09:16:00.000000000,NSEFO,SUPREMEIND25OCTFUT,4636.2,4632.2,4648,4640.1,15.8,175,2434020.75,525,175
0,09:16:00.000000000,NSEFO,SUPREMEIND25SEPFUT,4613.2,4611.6,4618.9,4615.25,7.3,175,12925668,2800,175
0,09:16:00.000000000,NSECM,SUZLON,59.82,59.82,59.85,59.835,0.03,200,301533644.2,5035632,1
0,09:16:00.000000000,NSEFO,SUZLON25OCTFUT,60.12,60.15,60.22,60.185,0.07,8000,8697600,144000,8000
0,09:16:00.000000000,NSEFO,SUZLON25SEPFUT,59.88,59.88,59.89,59.885,0.01,8000,80066480,1336000,8000
0,09:16:00.000000000,NSECM,SYNGENE,659.2,659.15,659.4,659.275,0.25,38,5003422.16,7586,1
0,09:16:00.000000000,NSEFO,SYNGENE25OCTFUT,664.55,663.45,667.5,665.475,4.05,1000,1994190,3000,1000
0,09:16:00.000000000,NSEFO,SYNGENE25SEPFUT,662.25,661.45,662.85,662.15,1.4,1000,5963310,9000,1000
0,09:17:00.000000000,NSECM,360ONE,1096.2,1095.8,1096.5,1096.15,0.7,1,5876972.34,5367,1
0,09:17:00.000000000,NSEFO,360ONE25OCTFUT,1104.5,1102,1106.2,1104.1,4.2,500,1104550,1000,500
0,09:17:00.000000000,NSEFO,360ONE25SEPFUT,1099,1097.7,1100,1098.85,2.3,500,10439170,9500,500
0,09:17:00.000000000,NSECM,GAIL,181.87,181.81,181.87,181.84,0.06,89,19806747.75,108679,1
0,09:17:00.000000000,NSEFO,GAIL25OCTFUT,183.76,183.35,183.61,183.48,0.26,3150,4633020,25200,3150
0,09:17:00.000000000,NSEFO,GAIL25SEPFUT,182.63,182.58,182.64,182.61,0.06,3150,17263260,94500,3150
0,09:17:00.000000000,NSECM,GLENMARK,2065.3,2064.7,2065.4,2065.05,0.7,5,17220749.7,8305,1
0,09:17:00.000000000,NSEFO,GLENMARK25OCTFUT,2084.3,2081.1,2085.6,2083.35,4.5,375,1564912.5,750,375
0,09:17:00.000000000,NSEFO,GLENMARK25SEPFUT,2073.5,2072.4,2075.7,2074.05,3.3,375,42133972.5,20250,375
0,09:17:00.000000000,NSECM,GMRAIRPORT,92.52,92.45,92.52,92.485,0.07,6,79151337.92,852832,1
0,09:17:00.000000000,NSEFO,GMRAIRPORT25OCTFUT,93.4,93.13,93.35,93.24,0.22,6975,12388437,132525,6975
0,09:17:00.000000000,NSEFO,GMRAIRPORT25SEPFUT,92.72,92.71,92.87,92.79,0.16,6975,83688072.75,899775,6975
0,09:17:00.000000000,NSECM,GODREJCP,1231.6,1230.7,1231.5,1231.1,0.8,119,22249803.54,18058,1
0,09:17:00.000000000,NSEFO,GODREJCP25OCTFUT,1228,1227,1230.3,1228.65,3.3,500,3691980,3000,500
0,09:17:00.000000000,NSEFO,GODREJCP25SEPFUT,1230.2,1230,1231.4,1230.7,1.4,500,17231200,14000,500
0,09:17:00.000000000,NSECM,GODREJPROP,2075.4,2075.4,2076.5,2075.95,1.1,8,29095785.84,14036,1
