date,time,exchange,name,ltp,bid,ask,mid,spread,last_trade_qty,total_trade_amount,total_trade_qty,lot_size
0,09:15:00.000000000,NSECM,360ONE,1064.9,1064.2,1064.9,1064.55,0.7,5,893928,840,1
0,09:15:00.000000000,NSEFO,360ONE25AUGFUT,1066.1,1048.3,1074.7,1061.5,26.4,500,533050,500,500
0,09:15:00.000000000,NSEFO,360ONE25SEPFUT,1070.8,1053.7,1086.8,1070.25,33.1,500,535400,500,500
0,09:15:00.000000000,NSECM,GAIL,173.4,173.4,173.49,173.445,0.09,1500,1347318,7770,1
0,09:15:00.000000000,NSEFO,GAIL25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GAIL25SEPFUT,174.9,173.13,179.1,176.115,5.97,3150,550935,3150,3150
0,09:15:00.000000000,NSECM,GLENMARK,1975,1975,1975.9,1975.45,0.9,7,3217275,1629,1
0,09:15:00.000000000,NSEFO,GLENMARK25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GLENMARK25SEPFUT,1988.8,1950,2064.7,2007.35,114.7,375,745800,375,375
0,09:15:00.000000000,NSECM,GMRAIRPORT,91.29,91.2,91.29,91.245,0.09,991,5797006.29,63501,1
0,09:15:00.000000000,NSEFO,GMRAIRPORT25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GMRAIRPORT25SEPFUT,90.9,90.96,91.94,91.45,0.98,6975,634027.5,6975,6975
0,09:15:00.000000000,NSECM,GODREJCP,1209.6,1209.6,1210.1,1209.85,0.5,10,466905.6,386,1
0,09:15:00.000000000,NSEFO,GODREJCP25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GODREJCP25SEPFUT,1219.2,-inf,1250,-inf,inf,500,609600,500,500
0,09:15:00.000000000,NSECM,GODREJPROP,2011,2011,2012,2011.5,1,4,1445909,719,1
0,09:15:00.000000000,NSEFO,GODREJPROP25AUGFUT,2005.5,2003.6,2016.3,2009.95,12.7,275,1103025,550,275
0,09:15:00.000000000,NSEFO,GODREJPROP25SEPFUT,2016.6,1968.8,2046.4,2007.6,77.6,275,554565,275,275
0,09:15:00.000000000,NSECM,GRASIM,2850,2846.3,2854,2850.15,7.7,404,7938916.39,2789,1
0,09:15:00.000000000,NSEFO,GRASIM25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
