date,time,exchange,name,ltp,bid,ask,mid,spread,last_trade_qty,total_trade_amount,total_trade_qty,lot_size
0,09:15:00.000000000,NSECM,360ONE,902,900,902,901,2,5,612458,679,1
0,09:15:00.000000000,NSECM,GAIL,183,183,184,183.5,1,1500,10275084,56148,1
0,09:15:00.000000000,NSEFO,GAIL25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GAIL25MAYFUT,187.44,184.61,185.85,185.23,1.24,2350,440484,2350,2350
0,09:15:00.000000000,NSECM,GLENMARK,1385,1385,1388.3,1386.65,3.3,3,509680,368,1
0,09:15:00.000000000,NSEFO,GLENMARK25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GLENMARK25MAYFUT,1406.3,1363,1407.8,1385.4,44.8,325,457047.5,325,325
0,09:15:00.000000000,NSECM,GMRAIRPORT,84.5,84.5,84.69,84.595,0.19,129,3581194.5,42381,1
0,09:15:00.000000000,NSEFO,GMRAIRPORT25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GMRAIRPORT25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,GODREJCP,1233.6,1231.5,1233.6,1232.55,2.1,3,3899409.6,3161,1
0,09:15:00.000000000,NSEFO,GODREJCP25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GODREJCP25MAYFUT,1236,1201.3,1238.8,1220.05,37.5,500,4948480,4000,500
0,09:15:00.000000000,NSECM,GODREJPROP,2075,2072,2075,2073.5,3,1,3705950,1786,1
0,09:15:00.000000000,NSEFO,GODREJPROP25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GODREJPROP25MAYFUT,2085.1,2060.5,2084.8,2072.65,24.3,225,469147.5,225,225
0,09:15:00.000000000,NSECM,GRASIM,2705.4,2699.3,2705.4,2702.35,6.1,1,4566758.76,1692,1
0,09:15:00.000000000,NSEFO,GRASIM25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GRASIM25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LAURUSLABS,602.5,602.5,603,602.75,0.5,2,2834762.5,4705,1
0,09:15:00.000000000,NSEFO,LAURUSLABS25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LAURUSLABS25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LICHSGFIN,583.45,583.1,583.45,583.275,0.35,6,1923051.2,3296,1
0,09:15:00.000000000,NSEFO,LICHSGFIN25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LICHSGFIN25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LICI,775,774.35,775,774.675,0.65,2,7512850,9694,1
0,09:15:00.000000000,NSEFO,LICI25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LICI25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LODHA,1270,1270,1270.1,1270.05,0.1,10,4876800,3840,1
0,09:15:00.000000000,NSEFO,LODHA25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LODHA25MAYFUT,1291.6,1172.6,1273.3,1222.95,100.7,450,581220,450,450
0,09:15:00.000000000,NSECM,LT,3332,3332,3333,3332.5,1,27,24213644,7267,1
0,09:15:00.000000000,NSEFO,LT25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LT25MAYFUT,3339,3339.1,3352,3345.55,12.9,150,500850,150,150
0,09:15:00.000000000,NSECM,LTF,162.66,162.56,163,162.78,0.44,1,4486615.2,27576,1
0,09:15:00.000000000,NSEFO,LTF25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LTF25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LTIM,4500,4500,4505,4502.5,5,21,1773000,394,1
0,09:15:00.000000000,NSEFO,LTIM25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LTIM25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LUPIN,2025.1,2025.1,2025.4,2025.25,0.3,24,6605876.2,3262,1
0,09:15:00.000000000,NSEFO,LUPIN25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LUPIN25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SAIL,109.97,109.8,109.97,109.885,0.17,7,5749011.66,52278,1
0,09:15:00.000000000,NSEFO,SAIL25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SAIL25MAYFUT,112.25,110.22,110.82,110.52,0.6,4000,449000,4000,4000
0,09:15:00.000000000,NSECM,SBICARD,862.2,862.2,869.95,866.075,7.75,20,2221027.2,2576,1
0,09:15:00.000000000,NSEFO,SBICARD25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SBICARD25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SBILIFE,1714,1714,1717.3,1715.65,3.3,66,3323446,1939,1
0,09:15:00.000000000,NSEFO,SBILIFE25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SBILIFE25MAYFUT,1736.1,1709.1,1731.4,1720.25,22.3,375,651037.5,375,375
0,09:15:00.000000000,NSECM,SBIN,765.3,765.3,765.65,765.475,0.35,100,93841086,122620,1
0,09:15:00.000000000,NSEFO,SBIN25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SBIN25MAYFUT,756.4,755.7,757.4,756.55,1.7,750,6233700,8250,750
0,09:15:00.000000000,NSECM,SHREECEM,29035,29035,29490,29262.5,455,7,522630,18,1
0,09:15:00.000000000,NSEFO,SHREECEM25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SHREECEM25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SHRIRAMFIN,618.2,618,618.2,618.1,0.2,1,5361648.6,8673,1
0,09:15:00.000000000,NSEFO,SHRIRAMFIN25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SHRIRAMFIN25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SIEMENS,2882.3,2882,2882.3,2882.15,0.3,5,2911123,1010,1
0,09:15:00.000000000,NSEFO,SIEMENS25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SIEMENS25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SOLARINDS,13100,13001,13100,13050.5,99,1,3903800,298,1
0,09:15:00.000000000,NSEFO,SOLARINDS25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SOLARINDS25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SONACOMS,491,490.85,491,490.925,0.15,1,1488221,3031,1
0,09:15:00.000000000,NSEFO,SONACOMS25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SONACOMS25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SRF,2916,2912,2916,2914,4,14,2329884,799,1
0,09:15:00.000000000,NSEFO,SRF25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SRF25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SUNPHARMA,1817.9,1815.1,1817.9,1816.5,2.8,2,8747734.8,4812,1
0,09:15:00.000000000,NSEFO,SUNPHARMA25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SUNPHARMA25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SUPREMEIND,3380.1,3380,3430,3405,50,1,1392601.2,412,1
0,09:15:00.000000000,NSEFO,SUPREMEIND25JUNFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SUPREMEIND25MAYFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
