date,time,exchange,name,ltp,bid,ask,mid,spread,last_trade_qty,total_trade_amount,total_trade_qty,lot_size
0,09:15:00.000000000,NSECM,360ONE,1043.8,1042.9,1043.8,1043.35,0.9,7,289906.74,278,1
0,09:15:00.000000000,NSEFO,360ONE25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,360ONE25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,GAIL,173,172.9,173,172.95,0.1,60,1716852,9924,1
0,09:15:00.000000000,NSEFO,GAIL25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GAIL25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,GLENMARK,2049.3,2049.3,2049.6,2049.45,0.3,1,188535.6,92,1
0,09:15:00.000000000,NSEFO,GLENMARK25AUGFUT,2056.3,2034.2,2066.8,2050.5,32.6,375,771112.5,375,375
0,09:15:00.000000000,NSEFO,GLENMARK25SEPFUT,2072.7,1977.6,2104.7,2041.15,127.1,375,777262.5,375,375
0,09:15:00.000000000,NSECM,GMRAIRPORT,89.1,89.1,89.19,89.145,0.09,140,528006.6,5926,1
0,09:15:00.000000000,NSEFO,GMRAIRPORT25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GMRAIRPORT25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,GODREJCP,1200.2,1200,1201.1,1200.55,1.1,1,183600,153,1
0,09:15:00.000000000,NSEFO,GODREJCP25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GODREJCP25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,GODREJPROP,1990,1987.9,1990,1988.95,2.1,2,1323350,665,1
0,09:15:00.000000000,NSEFO,GODREJPROP25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GODREJPROP25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,GRASIM,2757,2757,2758,2757.5,1,1,2497842,906,1
0,09:15:00.000000000,NSEFO,GRASIM25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GRASIM25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LAURUSLABS,834,834,834.5,834.25,0.5,9,1668834,2001,1
0,09:15:00.000000000,NSEFO,LAURUSLABS25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LAURUSLABS25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LICHSGFIN,575,575,575.5,575.25,0.5,8,768775,1337,1
0,09:15:00.000000000,NSEFO,LICHSGFIN25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LICHSGFIN25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LICI,905,905,905.15,905.075,0.15,3,2235350,2470,1
0,09:15:00.000000000,NSEFO,LICI25AUGFUT,907,904.4,917.8,911.1,13.4,700,634900,700,700
0,09:15:00.000000000,NSEFO,LICI25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LODHA,1225,1225,1226.1,1225.55,1.1,1,257250,210,1
0,09:15:00.000000000,NSEFO,LODHA25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LODHA25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LT,3680,3678,3680,3679,2,5,7941440,2158,1
0,09:15:00.000000000,NSEFO,LT25AUGFUT,3697.2,3685.6,3691.8,3688.7,6.2,175,2582510,700,175
0,09:15:00.000000000,NSEFO,LT25SEPFUT,3703.6,3680.4,3723.3,3701.85,42.9,175,648130,175,175
0,09:15:00.000000000,NSECM,LTF,198,197.95,198,197.975,0.05,86,930402,4699,1
0,09:15:00.000000000,NSEFO,LTF25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LTF25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
