date,time,exchange,name,ltp,bid,ask,mid,spread,last_trade_qty,total_trade_amount,total_trade_qty,lot_size
0,09:15:00.000000000,NSECM,360ONE,1074.9,1074.9,1075.5,1075.2,0.6,15,1064151,990,1
0,09:15:00.000000000,NSEFO,360ONE25AUGFUT,1081.5,1005,1098,1051.5,93,500,540750,500,500
0,09:15:00.000000000,NSEFO,360ONE25SEPFUT,1084,-inf,1112.7,-inf,inf,500,542000,500,500
0,09:15:00.000000000,NSECM,GAIL,175.16,175.16,175.49,175.325,0.33,59,1983336.68,11323,1
0,09:15:00.000000000,NSEFO,GAIL25AUGFUT,175.8,174.01,176.39,175.2,2.38,3150,553770,3150,3150
0,09:15:00.000000000,NSEFO,GAIL25SEPFUT,176.64,174.87,180.79,177.83,5.92,3150,556416,3150,3150
0,09:15:00.000000000,NSECM,GLENMARK,1949,1949,1951.7,1950.35,2.7,20,1551404,796,1
0,09:15:00.000000000,NSEFO,GLENMARK25AUGFUT,1945.7,1935.2,1974.9,1955.05,39.7,375,729637.5,375,375
0,09:15:00.000000000,NSEFO,GLENMARK25SEPFUT,1955.8,1946.4,2067.7,2007.05,121.3,375,733425,375,375
0,09:15:00.000000000,NSECM,GMRAIRPORT,90.4,90.3,90.4,90.35,0.1,1,1121683.2,12408,1
0,09:15:00.000000000,NSEFO,GMRAIRPORT25AUGFUT,90.92,88.61,90.88,89.745,2.27,6975,634167,6975,6975
0,09:15:00.000000000,NSEFO,GMRAIRPORT25SEPFUT,91.2,87.01,99.38,93.195,12.37,6975,636120,6975,6975
0,09:15:00.000000000,NSECM,GODREJCP,1211,1211,1212.6,1211.8,1.6,1,902195,745,1
0,09:15:00.000000000,NSEFO,GODREJCP25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GODREJCP25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,GODREJPROP,2014.9,2012,2014.9,2013.45,2.9,9,2079376.8,1032,1
0,09:15:00.000000000,NSEFO,GODREJPROP25AUGFUT,2018.8,2017,2025,2021,8,275,555170,275,275
0,09:15:00.000000000,NSEFO,GODREJPROP25SEPFUT,2030.4,2000,inf,inf,inf,275,558360,275,275
0,09:15:00.000000000,NSECM,GRASIM,2828.3,2825,2828.3,2826.65,3.3,3,1453746.2,514,1
0,09:15:00.000000000,NSEFO,GRASIM25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,GRASIM25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LAURUSLABS,883.9,883.15,884,883.575,0.85,1,3029125.3,3427,1
0,09:15:00.000000000,NSEFO,LAURUSLABS25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LAURUSLABS25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LICHSGFIN,581.65,580.7,581.7,581.2,1,31,1436192.61,2469,1
0,09:15:00.000000000,NSEFO,LICHSGFIN25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LICHSGFIN25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LICI,892.85,892.85,893,892.925,0.15,3,2428552,2720,1
0,09:15:00.000000000,NSEFO,LICI25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LICI25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LODHA,1259.4,1257.8,1259.4,1258.6,1.6,8,1042783.2,828,1
0,09:15:00.000000000,NSEFO,LODHA25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LODHA25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LT,3618,3618,3619.9,3618.95,1.9,1,9272831.18,2566,1
0,09:15:00.000000000,NSEFO,LT25AUGFUT,3627,3610.1,3630.6,3620.35,20.5,175,634725,175,175
0,09:15:00.000000000,NSEFO,LT25SEPFUT,3648,3611.5,3677.6,3644.55,66.1,175,638400,175,175
0,09:15:00.000000000,NSECM,LTF,218.01,218.01,218.03,218.02,0.02,2,11990331.99,54999,1
0,09:15:00.000000000,NSEFO,LTF25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LTF25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LTIM,5080,5077,5080,5078.5,3,25,1793240,353,1
0,09:15:00.000000000,NSEFO,LTIM25AUGFUT,5116.5,5006.5,5092.5,5049.5,86,150,767475,150,150
0,09:15:00.000000000,NSEFO,LTIM25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,LUPIN,1968.6,1968.6,1970,1969.3,1.4,1,1450858.2,737,1
0,09:15:00.000000000,NSEFO,LUPIN25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,LUPIN25SEPFUT,1986,1927.1,2026.4,1976.75,99.3,425,844050,425,425
0,09:15:00.000000000,NSECM,SAIL,122.7,122.7,122.77,122.735,0.07,1,2274858,18540,1
0,09:15:00.000000000,NSEFO,SAIL25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SAIL25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SBICARD,815.05,815.05,816,815.525,0.95,6,1740131.75,2135,1
0,09:15:00.000000000,NSEFO,SBICARD25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SBICARD25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SBILIFE,1846,1846,1850,1848,4,1,1175902,637,1
0,09:15:00.000000000,NSEFO,SBILIFE25AUGFUT,1858.4,1850,1873.6,1861.8,23.6,375,696900,375,375
0,09:15:00.000000000,NSEFO,SBILIFE25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SBIN,828.7,828.6,828.7,828.65,0.1,5,11328329,13670,1
0,09:15:00.000000000,NSEFO,SBIN25AUGFUT,830.45,828.75,830.25,829.5,1.5,750,622837.5,750,750
0,09:15:00.000000000,NSEFO,SBIN25SEPFUT,835.45,830.8,837.6,834.2,6.8,750,626587.5,750,750
0,09:15:00.000000000,NSECM,SHREECEM,31025,30905,31050,30977.5,145,5,992800,32,1
0,09:15:00.000000000,NSEFO,SHREECEM25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SHREECEM25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SHRIRAMFIN,623.35,623.35,624,623.675,0.65,1,6188618.8,9928,1
0,09:15:00.000000000,NSEFO,SHRIRAMFIN25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SHRIRAMFIN25SEPFUT,629.25,626.25,654.95,640.6,28.7,825,519131.25,825,825
0,09:15:00.000000000,NSECM,SIEMENS,3140,3135.1,3143.9,3139.5,8.8,1,611336.7,195,1
0,09:15:00.000000000,NSEFO,SIEMENS25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SIEMENS25SEPFUT,3159,3129.1,3169.9,3149.5,40.8,125,394875,125,125
0,09:15:00.000000000,NSECM,SOLARINDS,14684,14680,14684,14682,4,3,3450740,235,1
0,09:15:00.000000000,NSEFO,SOLARINDS25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SOLARINDS25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SONACOMS,456.5,456.5,456.6,456.55,0.1,27,1004300,2200,1
0,09:15:00.000000000,NSEFO,SONACOMS25AUGFUT,458.55,453,459.75,456.375,6.75,1050,481477.5,1050,1050
0,09:15:00.000000000,NSEFO,SONACOMS25SEPFUT,459.6,455,463.7,459.35,8.7,1050,482580,1050,1050
0,09:15:00.000000000,NSECM,SRF,2950,2945,2950,2947.5,5,17,13148150,4457,1
0,09:15:00.000000000,NSEFO,SRF25AUGFUT,2978,2975.1,2979,2977.05,3.9,200,8322020,2800,200
0,09:15:00.000000000,NSEFO,SRF25SEPFUT,2964.8,2940.1,3014.1,2977.1,74,200,592960,200,200
0,09:15:00.000000000,NSECM,SUNPHARMA,1634,1630,1634,1632,4,201,5864426,3589,1
0,09:15:00.000000000,NSEFO,SUNPHARMA25AUGFUT,1637.6,1628.1,1633,1630.55,4.9,350,573160,350,350
0,09:15:00.000000000,NSEFO,SUNPHARMA25SEPFUT,1647.8,1625.1,1651.4,1638.25,26.3,350,576730,350,350
0,09:15:00.000000000,NSECM,SUPREMEIND,4564.6,4560,4564.6,4562.3,4.6,1,917484.6,201,1
0,09:15:00.000000000,NSEFO,SUPREMEIND25AUGFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSEFO,SUPREMEIND25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:15:00.000000000,NSECM,SUZLON,59.65,59.65,59.66,59.655,0.01,7500,20739469.9,347686,1
0,09:15:00.000000000,NSEFO,SUZLON25AUGFUT,59.8,59.62,59.95,59.785,0.33,8000,478400,8000,8000
0,09:15:00.000000000,NSEFO,SUZLON25SEPFUT,60,59.61,61.55,60.58,1.94,8000,480000,8000,8000
0,09:15:00.000000000,NSECM,SYNGENE,682.95,682.15,682.95,682.55,0.8,1,293668.5,430,1
0,09:15:00.000000000,NSEFO,SYNGENE25AUGFUT,684.85,680,inf,inf,inf,1000,684850,1000,1000
0,09:15:00.000000000,NSEFO,SYNGENE25SEPFUT,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,09:16:00.000000000,NSECM,360ONE,1074.8,1074,1074.8,1074.4,0.8,18,14454718.38,13437,1
0,09:16:00.000000000,NSEFO,360ONE25AUGFUT,1079.8,1079,1081.5,1080.25,2.5,500,2692450,2500,500
0,09:16:00.000000000,NSEFO,360ONE25SEPFUT,1083.8,1079.3,1085.3,1082.3,6,500,1083800,1000,500
0,09:16:00.000000000,NSECM,GAIL,177.36,177.23,177.32,177.275,0.09,51,46895998.75,265775,1
0,09:16:00.000000000,NSEFO,GAIL25AUGFUT,177.66,177.61,177.87,177.74,0.26,3150,167472900,945000,3150
0,09:16:00.000000000,NSEFO,GAIL25SEPFUT,178.8,178.49,178.8,178.645,0.31,3150,16280397,91350,3150
0,09:16:00.000000000,NSECM,GLENMARK,1952.5,1952,1953.7,1952.85,1.7,1,14899515.28,7652,1
0,09:16:00.000000000,NSEFO,GLENMARK25AUGFUT,1954.8,1952.6,1958.8,1955.7,6.2,375,24162806.25,12375,375
0,09:16:00.000000000,NSEFO,GLENMARK25SEPFUT,1959.5,1957.2,1962.4,1959.8,5.2,375,734812.5,375,375
0,09:16:00.000000000,NSECM,GMRAIRPORT,90.66,90.59,90.66,90.625,0.07,25,3096445.8,34230,1
0,09:16:00.000000000,NSEFO,GMRAIRPORT25AUGFUT,90.8,90.67,90.8,90.735,0.13,6975,2528577,27900,6975
0,09:16:00.000000000,NSEFO,GMRAIRPORT25SEPFUT,91.16,91.18,91.4,91.29,0.22,6975,635841,6975,6975
0,09:16:00.000000000,NSECM,GODREJCP,1217.1,1217.1,1217.4,1217.25,0.3,8,4886862.86,4019,1
0,09:16:00.000000000,NSEFO,GODREJCP25AUGFUT,1222.1,1221.3,1223.2,1222.25,1.9,500,3666750,3000,500
0,09:16:00.000000000,NSEFO,GODREJCP25SEPFUT,1226,1227,1229.1,1228.05,2.1,500,1227400,1000,500
0,09:16:00.000000000,NSECM,GODREJPROP,2010.7,2010.9,2012.3,2011.6,1.4,20,16254266.36,8083,1
0,09:16:00.000000000,NSEFO,GODREJPROP25AUGFUT,2010.8,2012.3,2016.7,2014.5,4.4,275,7749857.5,3850,275
0,09:16:00.000000000,NSEFO,GODREJPROP25SEPFUT,2028,2024,2027,2025.5,3,275,557700,275,275
0,09:16:00.000000000,NSECM,GRASIM,2815.7,2814,2815.6,2814.8,1.6,25,14719029,5226,1
0,09:16:00.000000000,NSEFO,GRASIM25AUGFUT,2813.1,2810.3,2814.9,2812.6,4.6,250,19010227.5,6750,250
0,09:16:00.000000000,NSEFO,GRASIM25SEPFUT,2833,2827.5,2831.3,2829.4,3.8,250,1416500,500,250
0,09:16:00.000000000,NSECM,LAURUSLABS,885.95,885.8,885.95,885.875,0.15,20,20741571,23475,1
0,09:16:00.000000000,NSEFO,LAURUSLABS25AUGFUT,886.3,885.15,886.55,885.85,1.4,1700,27083448,30600,1700
0,09:16:00.000000000,NSEFO,LAURUSLABS25SEPFUT,889.2,888.8,891.35,890.075,2.55,1700,6053224,6800,1700
0,09:16:00.000000000,NSECM,LICHSGFIN,581.15,581.25,581.55,581.4,0.3,7,7864178.4,13520,1
0,09:16:00.000000000,NSEFO,LICHSGFIN25AUGFUT,572.25,571.55,572.8,572.175,1.25,1000,19523820,34000,1000
0,09:16:00.000000000,NSEFO,LICHSGFIN25SEPFUT,575.3,574.5,575.75,575.125,1.25,1000,1151000,2000,1000
0,09:16:00.000000000,NSECM,LICI,894.8,894.45,894.8,894.625,0.35,22,6146867.2,6880,1
0,09:16:00.000000000,NSEFO,LICI25AUGFUT,897.6,893.3,896.25,894.775,2.95,700,1256640,1400,700
0,09:16:00.000000000,NSEFO,LICI25SEPFUT,901.9,896.6,901.55,899.075,4.95,700,1262660,1400,700
0,09:16:00.000000000,NSECM,LODHA,1255.9,1255.9,1256.8,1256.35,0.9,5,10127439.28,8056,1
0,09:16:00.000000000,NSEFO,LODHA25AUGFUT,1252.4,1251.4,1261.7,1256.55,10.3,450,2823975,2250,450
0,09:16:00.000000000,NSEFO,LODHA25SEPFUT,1257.1,1257,1260.6,1258.8,3.6,450,1132695,900,450
0,09:16:00.000000000,NSECM,LT,3600.5,3600.5,3601,3600.75,0.5,1,69725604.16,19339,1
0,09:16:00.000000000,NSEFO,LT25AUGFUT,3605.2,3603.1,3604.7,3603.9,1.6,175,142645776,39550,175
0,09:16:00.000000000,NSEFO,LT25SEPFUT,3624.8,3625,3626.2,3625.6,1.2,175,23508588.25,6475,175
